username,seller_rating,seller_reviews,observed_offer_count,source,last_checked_utc
FlashbackLondon,99.50,58878,1,local_offers,
Juno_Records,100.00,56870,2,local_offers,
Dobshizzle,99.10,42885,5,local_offers,
johnmanshiprecords,99.70,40381,1,local_offers,
dempster13,100.00,35305,3,local_offers,
richnrgflash,99.90,34459,1,local_offers,
mixeduprecords,99.70,28161,3,local_offers,
carpetbagger,99.90,21782,1,local_offers,
DavidMAnderson,99.90,21317,5,local_offers,
marta111,100.00,20820,2,local_offers,
kuma.chan,99.50,20274,1,local_offers,
heliconia,99.70,19618,3,local_offers,
LeftLeggedPineapple,100.00,19323,1,local_offers,
Retro-Rarity,99.80,19048,1,local_offers,
Hobdensrecords,99.90,17774,8,local_offers,
BENNYSDISC,99.80,17576,1,local_offers,
VURecords,99.90,15627,1,local_offers,
COVJONES,99.90,15449,4,local_offers,
Rabbit_Records,99.70,15445,1,local_offers,
Electricity_Records,100.00,15350,3,local_offers,
Spyderhale,99.90,13012,14,local_offers,
DubStoreUK,99.70,12519,1,local_offers,
flipsome,99.80,12420,5,local_offers,
davetheruf,99.80,12206,1,local_offers,
Petesmusic_UK,100.00,11920,2,local_offers,
basementphil,99.70,11762,2,local_offers,
RelevantRecords,99.40,11475,1,local_offers,
fivesrecordscd,99.20,10974,3,local_offers,
direct-hits,100.00,10497,1,local_offers,
DieselRecords,99.80,10377,5,local_offers,
twissy22,99.50,10326,3,local_offers,
CurlyKidRecords,99.50,10325,1,local_offers,
Mama_Chesh,99.90,10065,2,local_offers,
Don.Giovanni,100.00,9886,1,local_offers,
JeffB235LF,99.30,9861,1,local_offers,
daissychainrecords,100.00,9697,3,local_offers,
StevecaptainKirk,99.00,9477,5,local_offers,
positivenoise,99.60,9328,1,local_offers,
Formatmusic,99.90,9203,1,local_offers,
blackcat_records,99.20,9069,1,local_offers,
willy-fogg,100.00,9013,2,local_offers,
Daddy-Pop,99.50,8758,2,local_offers,
a.t.e-records,99.50,8697,1,local_offers,
MERLIN-MOOSIK,99.10,8613,1,local_offers,
punkdeville,99.00,8582,3,local_offers,
BlueSkyVinyl,100.00,8559,1,local_offers,
windmillrecords,99.90,8457,1,local_offers,
Hybrid-Vinyl,99.90,8392,2,local_offers,
nizbit.,99.80,8360,1,local_offers,
souljones,99.80,8213,1,local_offers,
Vinyljunkpunk,99.80,8213,7,local_offers,
louisangel,100.00,8126,1,local_offers,
edcase13,99.70,7946,2,local_offers,
Thicket,99.40,7615,8,local_offers,
NotForgottenMusic,99.90,7430,1,local_offers,
SoundRecordsStroud,100.00,7210,3,local_offers,
jlaunder,99.80,6858,1,local_offers,
vocatia,99.80,6774,1,local_offers,
bctrhythm,99.20,6624,2,local_offers,
-R.V.S-,99.70,6623,2,local_offers,
electricwallpaper,100.00,6584,2,local_offers,
71qnow,99.60,6381,9,local_offers,
ovenglove,99.90,6244,1,local_offers,
brendaireland,99.20,6193,1,local_offers,
BOOHOORECORDS,100.00,6149,1,local_offers,
seedsrecords,100.00,6146,2,local_offers,
TomeRecords,100.00,6005,1,local_offers,
MION.UK,100.00,6003,3,local_offers,
nicoste250,99.90,5918,1,local_offers,
ceesie,99.90,5827,1,local_offers,
Avidrecords,99.10,5778,10,local_offers,
nietzsche,100.00,5748,1,local_offers,
Weston_House,100.00,5724,2,local_offers,
boblilley1,99.90,5641,1,local_offers,
IBlameTheParents,99.50,5592,1,local_offers,
grimble50,99.00,5565,2,local_offers,
music2yourears,99.80,5485,1,local_offers,
barky_redwood,99.90,5459,1,local_offers,
-A-M-,99.90,5100,5,local_offers,
Boomshanka,99.90,4957,1,local_offers,
lionheart-uk,99.90,4894,2,local_offers,
vinyl.head.kent,100.00,4775,1,local_offers,
FivesRecordsOnline,99.60,4665,4,local_offers,
jdlamb,99.20,4646,1,local_offers,
ponyotruffles,100.00,4469,1,local_offers,
joshdean,99.80,4416,1,local_offers,
pa55word,99.70,4406,2,local_offers,
Spinback-Records,100.00,4269,1,local_offers,
Thirteen-Records,99.90,4250,1,local_offers,
makintime452,99.70,4225,1,local_offers,
Flip_Sides...,99.50,4167,3,local_offers,
ROBOMAYHEM,99.60,4100,10,local_offers,
QuietVillage65,100.00,4071,1,local_offers,
humanheaduk,100.00,3997,1,local_offers,
markwzero,99.90,3966,1,local_offers,
Vip-Lps,99.60,3966,1,local_offers,
MEVABOB,99.50,3959,1,local_offers,
fruitmooning,99.60,3951,2,local_offers,
FromLondon,99.90,3933,1,local_offers,
Shakedown_Records,99.80,3887,1,local_offers,
vinylbside,99.90,3838,2,local_offers,
STIFFBEGGER,99.50,3829,13,local_offers,
topcat1250,99.40,3801,3,local_offers,
expressrecords,99.80,3479,1,local_offers,
tammy731605,99.90,3351,1,local_offers,
netdiscs,99.80,3157,1,local_offers,
Elephant.Records,99.90,2910,1,local_offers,
vinyltoffee,100.00,2895,1,local_offers,
Paul_Shippam_records,99.80,2874,2,local_offers,
goldmine19,99.90,2821,1,local_offers,
33-45Music,100.00,2802,2,local_offers,
strummerroom,100.00,2682,1,local_offers,
SouthRecordShop,99.80,2656,1,local_offers,
lionalsvinyl1,99.90,2635,1,local_offers,
electrical_storm,99.80,2549,2,local_offers,
RecordRevivals-uk,100.00,2483,1,local_offers,
phantomd,100.00,2480,4,local_offers,
WyreLightRecords,99.80,2447,1,local_offers,
keepthefaith123,99.60,2442,1,local_offers,
CrocRecords,100.00,2388,1,local_offers,
red_x_records,100.00,2323,1,local_offers,
DieselOnline,99.90,2306,3,local_offers,
OnTheFlipsideRecords,100.00,2299,1,local_offers,
prento,100.00,2269,1,local_offers,
fatskin,99.70,2264,1,local_offers,
RDownham,100.00,2249,2,local_offers,
imaginaryplaymate,99.90,2174,1,local_offers,
wickwax,100.00,2167,1,local_offers,
Munrec,100.00,2149,2,local_offers,
dwyerarma,99.60,2141,3,local_offers,
RangeRecords,100.00,2136,1,local_offers,
superfly64,99.90,2030,1,local_offers,
musicboxukcom,99.50,2008,1,local_offers,
Timmcnmr,100.00,1988,1,local_offers,
llmod1,100.00,1945,2,local_offers,
marie.fry,99.90,1939,4,local_offers,
Invader77,99.90,1933,1,local_offers,
mr.mick.carter,99.30,1904,3,local_offers,
booksmart,99.30,1903,1,local_offers,
makemvinyl,99.80,1856,2,local_offers,
jibjab65,100.00,1818,1,local_offers,
Hub.Store,99.90,1695,1,local_offers,
Bustersrecords.uk,100.00,1682,2,local_offers,
Zed-Records,99.50,1670,1,local_offers,
tuneinbuxton,100.00,1556,2,local_offers,
Vinyl-Resting-Place,99.90,1542,1,local_offers,
Hinny,99.70,1528,1,local_offers,
chris.frogley,100.00,1475,3,local_offers,
domino-man,100.00,1446,1,local_offers,
elgor,99.90,1438,1,local_offers,
Off.The.Record.Ldn,99.90,1366,1,local_offers,
Raw_Records,99.80,1299,2,local_offers,
Mr.M1999,100.00,1294,1,local_offers,
mattyb2002,99.80,1252,1,local_offers,
friendlyrecords,99.80,1222,1,local_offers,
Lovebeat-Records,100.00,1216,1,local_offers,
ShadowSounds,99.80,1189,1,local_offers,
9520Gates,100.00,1177,3,local_offers,
kennypattinson,100.00,1166,1,local_offers,
vallasrecords,99.70,1048,1,local_offers,
djbigsy,99.90,1040,1,local_offers,
musiclraider,99.70,1038,1,local_offers,
PlayToWin,100.00,1031,1,local_offers,
zinbadzoe,99.30,1006,1,local_offers,
hamonc,99.80,998,1,local_offers,
Veteran-Vinyl,99.80,990,1,local_offers,
Chuzzie_Pops,100.00,953,2,local_offers,
Five-Rise-Records.,99.90,896,1,local_offers,
Warola,99.70,879,3,local_offers,
Huckleberry147,99.70,878,1,local_offers,
rumen88,99.70,876,1,local_offers,
historyofsoul,99.90,875,3,local_offers,
MusicMico,99.60,849,1,local_offers,
Classical33,99.60,808,3,local_offers,
itsgoing,99.90,794,1,local_offers,
youseered,99.90,794,1,local_offers,
holmesdale17,99.70,782,1,local_offers,
warwickmusic,99.50,739,1,local_offers,
GBVINYLS,100.00,716,1,local_offers,
damn_savage,99.70,704,1,local_offers,
genetics,99.70,682,1,local_offers,
martinsoulconnexion,99.70,677,2,local_offers,
shoesy1,99.70,675,1,local_offers,
SatinSpoon,99.80,655,1,local_offers,
staxowax,100.00,602,1,local_offers,
SmallMovesMusic,99.80,591,1,local_offers,
dexternico,99.80,586,1,local_offers,
Onetime,100.00,557,1,local_offers,
knowaboutcratediggin,99.80,556,1,local_offers,
BooksandBobs,99.80,544,1,local_offers,
Slippeddiscs1,100.00,537,1,local_offers,
blacklimo,99.40,528,1,local_offers,
soylent777,100.00,522,1,local_offers,
bellebelles,99.40,522,1,local_offers,
jonnymorris1977,99.60,512,1,local_offers,
Adzbiz,99.80,505,2,local_offers,
vinyl_valley,100.00,503,2,local_offers,
boozyjunior,99.60,500,1,local_offers,
